text_orig,EDPatience
"RT @beatED: Learn more about anorexia and bulimia, as well as other eating disorders, here: https://t.co/Aj2HbjRH39 @BBCPanorama #BBCPanorama",0
"A woman tries to balance her relationships with her mother and teenage daughter while under the shadow of #anorexia in the atmospheric British drama #BodyofWater. 

At Depot from Friday, book now: https://lewesdepot.org/film/body-of-water
",0
"not a full on diagnosis, but like my therapist legit told my mom I have anorexia nevrususu and my poor mom sat there like 👁👄👁...... ",1
Higher-calorie diets for patients with anorexia nervosa shorten hospital stays https://t.co/jQFWUHQELR via @instapaper,0
"Tw // Ed meant Freddie pissed me off, but it was amazing. But the way they got the anorexic, bulimic actress to play a food-obsessed character will never sit right with me",1
"The brains of a woman suffering with AN, one with a healthy weight and one considered obese. The AN patient suppresses the positive reward stimulus the obese woman and the AN patient both receive more reward stimulus, however the area is wider in the anorexia patient https://t.co/jwMQAcRoeJ",0
A brain scan showing the areas affected by positive/negative rewards. Be it financial or social. A detailed explanation of an anorexic brain https://t.co/bvehB5qgIo,0
I SEARCHED UP ANOREXIA IN GIFS BYYYYE https://t.co/uY2QKBarML,1
@Naija_PR @volqx No problem nobody moves right. We shutdown everywhere please start contributions for those staying at home without food. Let’s start cooking and sharing house to house. #wereydeydisguise,0
"Hi! Not new to EDtwt, just using an old account! 🌞 • sSheher 17 • vegan  • atypical/anorexia • cw: 53.6kg  • gw: 42kg  • 166cm  • pro recovery  • thinspo &amp; ssweetpea • lLowcCalrecipes  like / rt to become mmutual &lt;3 {#thinspo #edtwt #ed #fatspo #sweetspo #meanspo}",1
Fuck off pussy bitch. The only cancerous thing I can think of rain is your existence.,0
@Tapiokishi @toxiccals You are the best anorexic.,1
Starving: Anorexia at 14 Anorexia steals the very life out of its victims. The disorder seemingly consumes them even as they consume next to nothing. Our guest contributor shares about her struggle with anorexia and how it correlates with mental health. https://t.co/Uxt24YYauv https://t.co/NBLUK84Rg0,0
Irl did this and lost 6kg she’s the real anorexic https://t.co/WvmFyxbWk2,1
Tow/ weight / I don’t think y’all know how fucking frustrating it is for me to tell myself to lose weight every day and failing every fucking single day for months already because all I do is binge eating and hating myself.,1
my  dad  suggesting  me  pizza..  I  am  anorexic  and  currently  trying  to  keep  my  calorie  intake  under  100  today  mind  your  own  business,1
"A family that eats together build a connection that strengthens the family ties. We only not enjoy the sharing of food, achievements and topics that makes us laugh, but this also serves the way to open up personal issue, conflicts, problem encountered by each of the family members.",0
@Crhedrys Problem for whom no get money to buy food and fuel oo #EndBadGoveranceInNigeria,0
"Tw // anorexia I have anorexia, and this is literally so offensive? Stfu",1
"I'm Irene, very awkward girl, 18. Either binge eating or starving, never an in-between :) cow and he is 186, and my first goal weight is 175. Idk about ugw yet.",1
@VALYJAY they are the best anorexic,1
"So, since they announced curfew by 12pm, and it’s effective from 4pm, how will people who are at work, and don’t have their homes stocked with enough food, fuel (since power is a big problem) and other resources to last the next 24 hours cope? Did they think about this or? #EndSARS",0
@kaydoloo you are the best anorexic,1
RT @tinyshroom95: the bonespo/thinspo on PH if you type in anorexic is INSANE,1
RT @sdapg6: ☁️ manifestation: - I am free from binge eating disorder. - I am free from any binge thought. - I am free from any binge cycle. - I am immune to binge. - I am able to restrict really low. - I am able to fast for really long. - I lose 20 kg instantly. - I get to my ague instantly. https://t.co/xTZoCW6qHC,1
May is the best anorexic,1
"broke my fast at 47hrs cause I felt like I was seriously about to die, my mom had to bring me food to my bed and she’s so worried now, asked me when the last time I ate was (I lied), said I look sick and that “anorexia is no joke” I’m feeling bad now",1
@lovelylilmisty I GET CALLED ANOREXIC ALL THE TIME EVEN WHEN I WAS AT MY HW 😐 MADE ME FEEL LIIE I WAS BEING MOCKED,1
Eating disorder inquests: Anorexia ignorance 'major concern' - BBC News https://t.co/IYgcARFToF,0
"Agbero will extort, Harass, intimidate truck/cart pushers, food vendors, hawkers. These have to stop too. They are also part of the problem.   #EndBadGoveranceInNigeria  #Endsars #EndPoliceBrutalityinNigeraNOW",0
I was so hungry today from waiting so late to eat lunch that I almost passed out… and I was shaking. How was I ever anorexic. Like seriously? 🥴 https://t.co/38Gg8RWft3,0
I just found out that years ago a family took their anorexic daughter to court for refusing to eat??? That is wild,1
I’ve been binge eating this week since I got severely dehydrated I need to turn this around 😅,0
how are you gonna be racist n anorexic pick a struggle,1
Problem for whom no get food for house.. #EndSARS #endpolicebrutality.,0
I drink 5 slim/green teas a day am I good anorexic already,1
"This curfew will no be my problem, we are law abiding citizens, my problem is where man picking goes see food like the one we did chop for protest in the next 24 hours or more 😩  #EndPoliceBrutalityinNigeraNOW #EndSARS",0
"We invade their territory. We decimate their food supply. We melt their ice. So how are #polarbears the predators here? #Humans are the planet's biggest problem because we won't share, co-operate or learn. #ClimateChangeIsReal",0
"I frequently only eat one meal a day, with no problem at all. However the moment I start a juice cleanse, all I can think about is food 😂 Currently I’m craving marrons glacés... If anyone wants to have some delivered to me for Friday when I can eat again, I would be grateful! https://t.co/IsM9cb8so3",0
"@reemrecovering Substance abuse causes anxiety disorder.  Addicts try to manage their anxiety by 'using',  unknowingly feeding it at the same time.  Always remember that WAKING UP CLEAN &amp; SOBER  is the first gift of every day. https://t.co/HJkqedCE3r",0
Trying to control my food intake again. Been binge eating chocolates every night &amp; I know it's bad 😭 but starting today imma stop,1
"RT @RCEMevents: Anorexia Nervosa has a 20% mortality rate. This study day gives insight into the physical &amp; the mental impact of eating disorders in patients &amp; careers. It will cover the marzipan guidelines, essential for managing these patients in the ED.  Book now ➡ https://t.co/nAW8eW1q5L https://t.co/Tj3vvHFxl0",0
@DannieMarie760 lol real men love it the media love those skinny anorexia girls on those perfume commercials.,1
everything bagel seasoning duh: 5 calories per serving - my personal fav - makes your food don't taste like anorexia https://t.co/wAI2wHmu3i,1
"Eating Disorders and Health Issues on the Heels of the Pandemic - Eating Disorders and Health Issues on the Heels of the Pandemic Betsy Wurzel’s guest today is Dr. Cynthia Bulik, Ph.D., FAED, and she will be talking about her book “Binge... https://t.co/1kC72HeAJc",0
You'll binge watching series at your home and I can't stop here binge eating at my home 😑,1
I got diagnosed with anorexia and bulimia........ guess my parents can take me seriously now,1
"TW / ED / eating disorder  I just binge ate after not having done so in a couple months, because of stress and anxiety and now I'm even more  stressed and anxious than before and hate myself ugh",1
My eating disorder has 0 to do with looking beautiful. It's not about wanting to be skinny for beauty reasons. It's not about that for me and it for sure it's about that for many others,1
suddenly eating excessive carbs after high protein-low carb diet 🤢 iIregret binge eating pasta ughhh 🤢,1
I am the Worst anorexic 👎,1
"RT @SEDAF18: We are looking for #autistic women living with a restrictive eating disorder (e.g. #anorexianervosa, atypical anorexia, #ARFID) to take part in our online study. More details below. Please email Charli (babbc@cardiff.ac.uk) or Janina (janina.brede@ucl.ac.uk) to participate! https://t.co/pFW4EddNZp",0
"Do you have to be underweight to be classed as having anorexia, or do you think it’s more of a mental disorder than physical?",1
recovery for me is just binging and relapsing is not eating for a week just to binge again&lt;\3 all I know is pain,1
"Also, can you have anorexia and still binge without purging?",1
I wrote this super person/deeply nerdy story about the incomparable ⁦@cbulik⁩’s groundbreaking work on the genetics of #eatingdisorders. 5 YEARS LATER it’s finally out! ⁦@elemental⁩ Is Anorexia Genetic? Here's What Science Says. | Elemental https://t.co/LsR36buoTg,0
@miasucks3 I was asking what Ed is that considered because I know  anorexia people don’t classify you as it until you have a specific weight :/,0
"I need more moots so here's a bit about me: 🥀Yuna 🥀20 years old 🥀ednos, binge-starving periods 🥀tried recovering 2 times 🥀used to have anorexia and orthoOrthorexia cm 🥀ugw: 43 kg Looking for 18+ moots #edtwt #proana #thinspo https://t.co/DIJqBhAaxo",1
RT @petersuber: Closed seeds (for lack of a better term) are a real thing and a real problem.  And there's a real solution: #opensource seeds. See for example: * From 2017 = https://t.co/tHBOiIZlax * From 2019 = https://t.co/trK6HMjkU5 https://t.co/YPqIQfnXZ8,0
Y’all love to act like fat means obese. No one is out here saying skinny means anorexic though.,1
I am actually the worst anorexic,1
"If skinny people can be skinny without being anorexic, why isn’t that the same for fat people? What people consider fat is entirely subjective. We can talk about bigger people wanting to love themselves without always involving health risks. News flash: a lot of know this.",1
"the only good thing that has come from my weight gain after being anorexic, is my boobs going from a 32A (barely) to a 36D",1
"Eating disorders are a mental illness. Not everyone’s disorder revolves around being skinny, and not everyone wants to be a skinny book of beauty standards. It’s not a diet of the week, it’s a mental illness that will most likely kill you if you don’t recover from it.",1
How To Recover From Workout Soreness Faster Watch It Here: https://t.co/k79byDkJIT  #training #trauma #strength #loveyourself #mindfulness #anorexia #hope #support #onedayatatime #gym #aa #eminem #massage #soberliving #soberaf #wedorecover #eatingdisorder #exercise #recovery https://t.co/G6a9pTUr26,0
"I got in trouble at school so they called my mum and they also commented on my weight loss saying ""does she have anorexia"" I literally look the same though,",1
"When I was anorexic, I had my then-BFF constantly tell me this exact thing. I wasn't trying to get skinnier I was trying to make my waist proportionate to my almost flat chest and thin legs. How different people with eating disorders see their supposed flaws REALLY varies?",1
I found out today my mom had anorexia.. #edtwt,0
"📣 New Podcast! ""Eating Disorders and Health Issues"" on @Spreaker #anorexia #binge #body_shaming #bulimia #clinical_depression #counseling #covid_19 #depression #eating_disorder #journalist #medication #meditation #mental_health #mental_illiness https://t.co/5kVE0W1ax4",0
sixth grade me was always talking bout how one day id glow up and get skinny n hot like shut up bitch or gene develop an eating disorder that are not even new lose weight  and be the literal worst anorexic,1
"Announcing our next 10 Women to Watch. Today we recognize trailblazers in the broadcast booth and the boardroom, problem-solvers keeping goods and data flowing amid the pandemic, and influencers making food, finance, and civic life more inclusive. https://t.co/mcoDzFDpQS https://t.co/2oVhEEBmlJ",0
"This is true of almost all scarcity, resources &amp; raw materials, food, housing and medicine, even privacy. We do not have a scarcity problem we have a political problem.",0
@GoodwinVianna Holy crap! That's horrific 😳 And then people are surprised when girls/women get eating disorders. I mean when iIwas anorexic that was a HUGE problem in moving towards recovery. People who ddidn'tknow were all praising my wweight loss I was down to 99 pounds &amp; VERY ssick 😔,1
drank a Rockstar ND ate noodles I'm literally the best anorexic,1
"📹 Eating Disorders and Health Issues Betsy Wurzel’s guest today is Dr. Cynthia Bulik, Ph.D., FAED, and she will be talking about her book “Binge Control”. Dr. Cynthia Bulik is the founder of the UNC Center of Excellence Eating Disorder.... https://t.co/tXafEFw6zI",0
"I know this is ridiculous, but the word “anorexic” seems so much more polished and disciplined than how I feel. I feel like a scatter brained bitch that doesn’t have her shit together so she attempts to control what goes into her ugly body.",1
I'm scared because my mom thinks I have anorexia or at least an idea and I found out she has anorexia so she would know 😔😔😔,1
What is ejercicio vigoroso? My anorexic ass don't understand,1
Eating Disorders and Health Issues on the Heels of the Pandemic #anorexia #pandemic #COVID-19 https://t.co/t5IQiRSuZd,0
High Calorie Refeeding: Successful in Treatment of Anorexia Nervosa https://t.co/f5Ob0tS6jH,0
"Bull :( we kinda have the same problem... me eating to at least have food in my stomach, but not to actually **eat** BC I rarely feel hungry these few months...",1
@softqte I am the worst anorexic :(,1
"RT @RYDaily: Signs of anorexia include: fear of gaining weight, unrealistic ideas about body shape or weight; denial of a problem; an 'inner voice' that challenges views on eating and exercise; strange or obsessive behavior around eating; mood swings, depression, https://t.co/J6pf3MTN2j",0
"Genuine question of non medic re those advocating lockdown to #savetheNHS ICU beds. Can’t they go to hospitals in regions with capacity? People who need beds for MH conditions, e.g. anorexia, psychosis, etc. are sent all over the country. 🤷🏼‍♀️ #geography #casedemic #healthparity",0
If Mental Disorders were Creatures by SILLVI #PTSD https://t.co/0PtkUpebUl #BipolarDisorder https://t.co/6QxzvoMSV2 #anorexia https://t.co/KGRQZih3HX #Autism https://t.co/KnZedTPGu1,0
RT @Onision: IF YOU ARE ANOREXIC AND YOU ARE SHOWING OFF YOUR BODY ON YOUTUBE OR INSTAGRAM YOU ARE CANCER AND YOU ARE SPREADING IT TO OTHERS WHO ARE AT HIGH RISK FOR ANOREXIA GET SOME HELP BEFORE YOU HURT MORE PEOPLE!,0
"RT @EveUnleashed: This is true of almost all scarcity, resources &amp; raw materials, food, housing and medicine, even privacy. We do not have a scarcity problem we have a political problem. https://t.co/iGfizzuzBe",0
